id,title,artist,genre,mood,energy,tempo_bpm,valence
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81
11,Moonlight Sonata Suite,ClassicWave,classical,peaceful,0.25,90,0.72
12,Neon Dreams,SynthMaster,electronic,energetic,0.88,128,0.65
13,Midnight Blues,BlueSoul,blues,melancholic,0.55,95,0.48
14,Country Roads,RustyChord,country,nostalgic,0.58,112,0.68
15,Metal Assault,HeavyThunder,metal,aggressive,0.95,160,0.25
16,Urban Flow,RhymeKing,hip-hop,confident,0.72,100,0.70
17,Island Vibes,ReggaeRoots,reggae,relaxed,0.48,105,0.62
18,Autumn Leaves,FolkTales,folk,wistful,0.42,88,0.65
19,Pulsing Lights,ElectroWave,electronic,euphoric,0.82,135,0.78
20,Electric Rebellion,PunkRiot,punk,energetic,0.80,140,0.62
